İlçe,Metrekare,Oda_Sayısı,Binanın_Yaşı,Fiyatı,Site_Icerisinde,Bulundugu_Kat,Kat_Sayisi,Isitma_Tipi,Veri_Kaynagi,Isitma_Skoru,İlçe_Kod,Oda_Metrekare,Yaş_Grup,Metrekare_Log,Oda_Sayisi_Log,Metrekare_x_Oda,Yas_x_Metrekare,İlçe_Gücü,Giris_Kat_Mi,Site_Bonus,Kat_Orani,Ilce_Oda_Key,İlçe_Oda_Gücü
Beşiktaş,320,6.0,30.0,16000000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,52.459016393442624,3,5.771441123130016,1.9459101490553132,1920.0,9600.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_6,42748333.333333336
Beşiktaş,180,4.0,30.0,17000000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,43.90243902439025,3,5.198497031265826,1.6094379124341003,720.0,5400.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_4,27622500.0
Beşiktaş,125,4.0,30.0,3250000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,30.487804878048784,3,4.836281906951478,1.6094379124341003,500.0,3750.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_4,27622500.0
Beşiktaş,210,4.0,7.5,7500000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,51.21951219512196,1,5.351858133476067,1.6094379124341003,840.0,1575.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_4,27622500.0
Beşiktaş,175,4.0,30.0,11000000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,42.6829268292683,3,5.170483995038151,1.6094379124341003,700.0,5250.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_4,27622500.0
Beşiktaş,110,4.0,30.0,1950000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,26.82926829268293,3,4.709530201312334,1.6094379124341003,440.0,3300.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_4,27622500.0
Beşiktaş,350,8.0,30.0,11000000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,43.20987654320988,3,5.860786223465865,2.1972245773362196,2800.0,10500.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_8,29345454.545454547
Beşiktaş,100,3.0,18.0,7000000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,32.25806451612903,2,4.61512051684126,1.3862943611198906,300.0,1800.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_3,27756909.722222224
Beşiktaş,230,3.0,30.0,14000000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,74.19354838709677,3,5.442417710521793,1.3862943611198906,690.0,6900.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_3,27756909.722222224
Beşiktaş,130,4.0,30.0,1950000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,31.707317073170735,3,4.875197323201151,1.6094379124341003,520.0,3900.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_4,27622500.0
Beşiktaş,120,4.0,10.0,3100000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,29.26829268292683,1,4.795790545596741,1.6094379124341003,480.0,1200.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_4,27622500.0
Beşiktaş,150,4.0,10.0,7500000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,36.58536585365854,1,5.017279836814924,1.6094379124341003,600.0,1500.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_4,27622500.0
Beşiktaş,80,3.0,30.0,1200000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,25.806451612903224,3,4.394449154672439,1.3862943611198906,240.0,2400.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_3,27756909.722222224
Beşiktaş,85,3.0,30.0,1000000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,27.419354838709676,3,4.454347296253507,1.3862943611198906,255.0,2550.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_3,27756909.722222224
Beşiktaş,80,2.0,30.0,1950000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,38.095238095238095,3,4.394449154672439,1.0986122886681098,160.0,2400.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_2,14200681.818181818
Beşiktaş,200,5.0,30.0,2500000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,39.21568627450981,3,5.303304908059076,1.791759469228055,1000.0,6000.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_5,38385762.711864404
Beşiktaş,120,4.0,10.0,3650000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,29.26829268292683,1,4.795790545596741,1.6094379124341003,480.0,1200.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_4,27622500.0
Beşiktaş,110,4.0,10.0,3650000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,26.82926829268293,1,4.709530201312334,1.6094379124341003,440.0,1100.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_4,27622500.0
Beşiktaş,380,6.0,7.5,40000000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,62.29508196721312,1,5.942799375126701,1.9459101490553132,2280.0,2850.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_6,42748333.333333336
